CONTENT,CLASS
lmfao!!!!!!!!﻿,0
one of the best songs in music history﻿,0
if she really did this there she's hardcore﻿,0
"almost 1 bil. what? wow, gs sucks, in my opinion.﻿",0
dear friends please subscribe to my channel i will be very glad to see you virucide ;-)﻿,1
i love this so much. and also i generate free leads on auto pilot &amp; you can  too! http://www.myleadergate.com/moretraffic﻿,1
i dont even watch it anymore i just come here to check on 2 billion or not﻿,0
just checking the views﻿,0
http://www.ermail.pl/dolacz/unnfy2i=                  please click on the  link﻿,1
"i really love watching football and also i’ve started off making income with out financial risk from acquiring bonus deals. it’s this weird technique where you wager on something with one bookmakers and bet against it on betfair. you secure the bonus as income . a chap named jim vanstone is finding the wagers free on his own website vanstone secrets (google it!). i’ve made about 500 quid thus far. and it is cost-free. i guess the bookies pay him to obtain new consumers, yet this actually works.",1
check out this video on youtube:﻿,1
"katy perry does remind me of a tiger,like as if its her spirit animal :3 &lt;3﻿",0
check out this video on youtube:﻿,1
check out this playlist on youtube:﻿,1
check out this video on youtube:﻿,1
i love this song because we sing it at camp all the time!!,0
check out this video on youtube:﻿,1
check out my new video,1
it was  cool   the best   song ever  ﻿,0
"huh, anyway check out this you[tube] channel: kobyoshi02",1
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0
*katy you are a shit go die!!!!!roar is a floooooooooooooooooooop*﻿,0
god she is so hot,0
"the first billion viewed this because they thought it was really cool, the  other billion and a half came to see how stupid the first billion were...﻿",0
she is perfect,0
check out partyman318 fr good tunez!! :d,1
i love that you subscribed﻿,1
check out this video on youtube:﻿,1
like if you came here too see how many views this song has.﻿,0
i am from brazil please subscribe my channel love you all﻿,1
